trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.5, 'e': 0.7899922314973651}",35,0,-84.25164364940453,"{0: 22, 1: 6, 2: 6, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.7869167851284287}",20,0,-75.34458449785055,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7838216658808492}",25,0,-172.69472247179374,"{0: 12, 1: 3, 2: 5, 3: 4, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.7807069511324468}",20,3,-91.46284323680247,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.7775727187509279}",20,0,-73.2241412986759,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.7744190470919388}",25,0,-61.556818687699845,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
139,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-104.91759905095954,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.7680537017920684}",25,0,-97.04366499440918,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-84.75361103004234,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.7616115517620617}",20,7,-46.61145620682825,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.7583618759905082}",30,0,-188.97099681818167,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.7550932412115529}",30,0,-53.208696494354584,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.751805729140895}",30,0,-91.65524519044854,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.7484994219661651}",30,0,-115.38613471020174,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.7451744023448704}",30,0,-50.760991189179684,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.7418307534023282}",20,0,-89.95298851902714,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,9,-27.988082636880577,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.7350879023813413}",20,9,-96.96272413125452,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 2}",1
151,False,"{'a': 0.5, 'e': 0.7316888688738209}",30,1,-132.33153778929034,"{0: 20, 1: 0, 2: 6, 3: 1, 4: 2}",1
152,False,"{'a': 0.5, 'e': 0.7282715431826874}",30,0,-121.24486012654634,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-28.589080177436863,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.7213823574366063}",25,14,2.4953710910714566,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.7179106696109433}",20,6,-53.76890951627582,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.7144210340559314}",20,0,-9.072979925290209,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.7109135380122773}",30,0,-70.60672331432552,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.7073882691671998}",20,0,-142.30516089286363,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.7038453156522361}",35,6,1.3121770831950998,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.7002847660410397}",20,0,-79.70823559770128,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.6967067093471654}",30,0,-198.9848654525004,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.6931112350218442}",30,0,-164.3465038491284,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.689498432951747}",25,0,-78.87755558782138,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.6858683934567373}",20,14,4.857918246252149,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.6822212072876135}",25,0,-17.733737432685075,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.6785569656238398}",35,21,-26.32645421567637,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.674875760071267}",20,0,-105.17348231607804,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.6711776826598423}",20,0,-34.96490138338997,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,0,-30.464448612125494,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.6637312824868916}",20,14,10.0594849597199,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.6599831458849822}",20,12,2.0629943326415057,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.6562185097387997}",35,0,-127.47945797726179,"{0: 24, 1: 2, 2: 5, 3: 3, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.6524374681640519}",30,0,-145.76272096075542,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.648640115686581}",20,0,-29.823414122833,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
